First Name,Last Name,Pos,Team,Rank
Roki,Sasaki,RHP,Los Angeles Dodgers,1
Roman,Anthony,OF,Boston Red Sox,2
Jackson,Jobe,RHP,Detroit Tigers,3
Kristian,Campbell,2B,Boston Red Sox,4
Walker,Jenkins,OF,Minnesota Twins,5
Dylan,Crews,OF,Washington Nationals,6
Bubba,Chandler,RHP,Pittsburgh Pirates,7
Chase,Dollander,RHP,Colorado Rockies,8
Andrew,Painter,RHP,Philadelphia Phillies,9
Noah,Schultz,LHP,Chicago White Sox,10
Carson,Williams,SS,Tampa Bay Rays,11
Bryce,Eldridge,1B,San Francisco Giants,12
Jordan,Lawlar,SS,Arizona Diamondbacks,13
Samuel,Basallo,C,Baltimore Orioles,14
Marcelo,Mayer,SS,Boston Red Sox,15
Colt,Emerson,SS,Seattle Mariners,16
Jesus,Made,SS,Milwaukee Brewers,17
Leodalis,De Vries,SS,San Diego Padres,18
Emmanuel,Rodriguez,OF,Minnesota Twins,19
Kumar,Rocker,RHP,Texas Rangers,20
Sebastian,Walcott,SS,Texas Rangers,21
Max,Clark,OF,Detroit Tigers,22
Kevin,McGonigle,SS,Detroit Tigers,23
Travis,Bazzana,2B,Cleveland Guardians,24
Rhett,Lowder,RHP,Cincinnati Reds,26
Chase,Burns,RHP,Cincinnati Reds,27
Jasson,Dominguez,OF,New York Yankees,28
Coby,Mayo,3B,Baltimore Orioles,29
Dalton,Rushing,C,Los Angeles Dodgers,30
Ethan,Salas,C,San Diego Padres,31
Jaison,Chourio,OF,Cleveland Guardians,32
Thomas,White,LHP,Miami Marlins,33
Nick,Kurtz,1B,Athletics,34
Matt,Shaw,3B,Chicago Cubs,35
Aidan,Miller,SS,Philadelphia Phillies,36
Angel,Genao,SS,Cleveland Guardians,37
Jacob,Wilson,SS,Athletics,38
Colson,Montgomery,SS,Chicago White Sox,39
Hagen,Smith,LHP,Chicago White Sox,40
Charlie,Condon,OF,Colorado Rockies,42
Jeferson,Quero,C,Milwaukee Brewers,43
Jacob,Misiorowski,RHP,Milwaukee Brewers,44
Luke,Keaschall,2B,Minnesota Twins,45
Alex,Freeland,SS,Los Angeles Dodgers,46
Josue,De Paula,OF,Los Angeles Dodgers,47
Chase,DeLauter,OF,Cleveland Guardians,48
Alejandro,Rosario,RHP,Texas Rangers,49
Cooper,Pratt,SS,Milwaukee Brewers,50
Zyhir,Hope,OF,Los Angeles Dodgers,51
Kyle,Teel,C,Chicago White Sox,52
Drake,Baldwin,C,Atlanta Braves,53
Cade,Horton,RHP,Chicago Cubs,54
Cam,Smith,3B,Houston Astros,55
Cole,Young,SS,Seattle Mariners,56
Konnor,Griffin,SS,Pittsburgh Pirates,57
Jett,Williams,SS,New York Mets,58
Travis,Sykora,RHP,Washington Nationals,59
Bryce,Rainer,SS,Detroit Tigers,60
Brandon,Sproat,RHP,New York Mets,61
Moises,Ballesteros,C,Chicago Cubs,62
Jac,Caglianone,1B,Kansas City Royals,63
Owen,Caissie,OF,Chicago Cubs,64
Brayden,Taylor,3B,Tampa Bay Rays,65
Braden,Montgomery,OF,Chicago White Sox,66
Jarlin,Susana,RHP,Washington Nationals,67
Thayron,Liranzo,C,Detroit Tigers,69
Jonny,Farmelo,OF,Seattle Mariners,70
Kevin,Alcantara,OF,Chicago Cubs,71
Starlyn,Caba,SS,Miami Marlins,72
Zebby,Matthews,RHP,Minnesota Twins,73
Thomas,Harrington,RHP,Pittsburgh Pirates,74
Blake,Mitchell,C,Kansas City Royals,75
Franklin,Arias,SS,Boston Red Sox,76
Michael,Arroyo,2B,Seattle Mariners,77
Caden,Dana,RHP,Los Angeles Angels,78
Christian,Moore,2B,Los Angeles Angels,79
Tre',Morgan,1B,Tampa Bay Rays,80
Heston,Kjerstad,OF,Baltimore Orioles,81
Jackson,Ferris,LHP,Los Angeles Dodgers,82
AJ,Smith-Shawver,RHP,Atlanta Braves,83
Demetrio,Crisantes,2B,Arizona Diamondbacks,84
Cole,Carrigg,OF,Colorado Rockies,85
Colby,Thomas,OF,Athletics,86
Xavier,Isaac,1B,Tampa Bay Rays,87
George,Lombard,SS,New York Yankees,88
Felnin,Celesten,SS,Seattle Mariners,89
Trevor,Harrison,RHP,Tampa Bay Rays,90
Ralphy,Velazquez,1B,Cleveland Guardians,91
Jesus,Baez,3B,New York Mets,92
Eduardo,Tait,C,Philadelphia Phillies,93
Gary,Gill Hill,RHP,Tampa Bay Rays,94
Harry,Ford,C,Seattle Mariners,95
Justin,Crawford,OF,Philadelphia Phillies,96
Lazaro,Montes,OF,Seattle Mariners,97
Chase,Petty,RHP,Cincinnati Reds,98
Nolan,McLean,RHP,New York Mets,99
Ricky,Tiedemann,LHP,Toronto Blue Jays,100