Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Proj Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Jo Hsi Hsu","MIRP","CPBL",2027,"24.3166666","Taiwan","Wei Chuan Dragons",,,"5' 10""","167","R","R","40+","Med","Tommy John surgery kept Hsu from pitching in 2022. When he returned very late in 2023, in time to pitch just 15.1 innings before the end of the season, his stuff was back, and that carried over into a totally healthy and productive 94.2 innings in 2024. Hsu was reaching back for 98 and sitting 95-96 at the very end of the 2024 season. The athletic little righty and his drop-and-drive delivery generate uphill angle on that fastball, and Hsu's secondary stuff (especially his splitter) has continued to improve as he's gotten pro reps. He now looks like a nasty long reliever, and if he can sustain his stuff across another 50 innings or so, he'll have earned MLB starter projection. His hard slider/cutter might end up being a better offering than his slow curveball relatively soon, and give him another above-average weapon. This is a very exciting young pitcher who might end up being posted to an NPB team for a year or two before he entertains MLB offers.","FrB3P2aPraw",
"Angel Nuñez Jr.","CF","Int'l Amateur",2026,"16.7722222","Dominican Republic",,"CIN",,"5' 11""","165","L","L","40+","High","Nuñez is a twitchy, medium-framed center fielder with real afterburners. He has a chance to be a special defensive center fielder because of his speed and arm. Though he's smaller than most other top international prospects, he packs a pretty good punch for his size. His hands work with a little hitch and his barrel drags through the zone somewhat, but Nuñez's smaller size should keep his swing from being too long. He lacks overt physical projection, but he's still a toolsy center fielder with upside if he can hit.",,
"Francisco Renteria","CF","Int'l Amateur",2026,"17.0166666","Venezuela",,"PHI",,"6' 1""","165","R","R","40+","High","A physical center fielder, Renteria participated in many Perfect Game events in the U.S. and was part of Venezuela's WBSC U15 team late in 2024. He's not a burner, but he has precocious ball skills in center. He has also flashed pull power in games, but his swing looks a little long to the eye, and it might be tested by pro velocity.",,
"Wandy Asigen","SS","Int'l Amateur",2026,"16.4","Dominican Republic",,"NYY",,"5' 10""","165","L","R","40+","High","A lefty-hitting infielder with a low-ball swing geared for power, Asigen played all over the infield on the Dominican U15 team late in 2024 (including first base) but projects to shortstop in pro ball. Of medium build, Asigen is a fairly explosive swinger with impressive pull power for a hitter his size. He currently has swing-and-miss vulnerability against fastballs up and away from him, a hole Asigen will hopefully close up as he gets stronger.",,
"Woo-jin An","SP","KBO",2028,"25.4861111","South Korea","Kiwoom Heroes",,,"6' 3""","198","R","R","40+","High","An is perhaps the most talented pitcher in the KBO, and has been since he was 20 or so. But his future has been clouded by compulsory military service, which he still needs to complete because of an incident that occurred in high school and has since precluded him from competing with Korea's national team, blocking the pathway to an exemption. An also had Tommy John after the 2023 season, which kept him out for all of 2024. 
His fastball velocity improved into the 92-97 mph range in 2022 even though he nearly doubled his previous season's innings mark. He will top out at 99, working with downhill angle in most of the zone. While his fastball command is a bit scattershot, An fills the zone with an array of breaking balls, most frequently his mid-80s slider and upper-70s curveball, which have distinct shape and utility. He'll tend to use the curveball as a finishing pitch, while the slider and cutter are more neutral, strike-garnering offerings. An has some reliever characteristics (lack of changeup feel and fastball playability), but he has the stuff to be some kind of impact arm in MLB if his stuff returns after surgery. It's possible An's need to complete military service will complicate his career or the timing of his matriculation to MLB.","xt32c-dkSmE","kr3012678"
"Rui Muneyama","SS","NPB",2031,"21.9944444","Japan","Rakuten Golden Eagles",,,"5' 10""","175","L","R","40+","High","Five teams nominated Muneyama to be their first pick in 2024, and the Meiji University shortstop was awarded to Rakuten via lottery. Muneyama played on the 2023 Japanese Collegiate National team that faced Team USA that summer, and then cemented his top-of-the-draft status with a strong performance during collegiate fall ball. He's a shortstop fit with average hands but plus range, athleticism, and arm strength. He tended to spray low-90s fastballs to the opposite field against Team USA, and we'll see how he handles pro velocity on a more regular basis — there's just no way of knowing how that's going to go until it happens. But for now, Muneyama has a balanced offensive skill set. He moves the barrel around, he can turn on inside pitches, and he sprays a lot of line drive contact all over the place. His well-composed, medium frame has room for strength and power. Mostly because of his defense, Muneyama looks like a mid-to-late first round MLB draft prospect, with hit tool volatility akin to a small conference hitter.","MDyuGJ-edhI",
"Jyun-Yue Tseng","SIRP","CPBL",2027,"23.3","Taiwan","Fubon Guardians",,,"5' 8""","155","R","R","40+","Med","Young reliever Jyun-Yue Tseng led the CPBL in strikeout rate among hurlers who threw at least 45 innings from 2022-24 and was the youngest member of Taiwan's 2023 World Baseball Classic team. He has a power fastball that peaks at 99 mph and sits 93-96 with flat angle created by his lack of height. At 5-foot-8, Tseng is short but he isn't small, and his lower body is incredibly strong and flexible, helping quell concerns about durability. Conversely, Tseng enjoys the benefits of having a lower release height because he's so short, which helps the bat-missing shape of his fastball. The finish of his slurve is rather inconsistent, but it's possible a big league dev program could quickly improve that part of his game. He looks like a solid middle reliever by virtue of his fastball, and he has a chance to be a more impactful, higher-leverage contributor if an MLB team can improve his breaking ball. 
Somewhat surprisingly, Tseng filed for international free agency after the 2023 season, but he didn't end up leaving the CPBL. If that happens again soon, it is likely an NPB team will swoop in because Tseng is subject to MLB's amaeur bonus restrictions until he's played a few more years of pro ball. A shoulder injury kept him off the 2024 Taiwanese Premier12 roster, so it's perhaps more likely he ends up matriculating to a tougher league after 2025. He has impact relief potential.",,
"Kaima Taira","SIRP","NPB",2026,"25.2777777","Japan","Saitama Lions",,,"5' 8""","220","R","R","40+","Med","Taira looked like a late-inning power reliever until 2023, when he was moved to Seibu's rotation and dealt with a regression in stuff. He began 2024 as a starter again but was shut down with forearm tightness after just a few outings. He missed several months and was put back in the bullpen when he returned, and Taira's stuff rebounded in a big way. He sat 96 and was up to 99 late in the year. Taira has a catcherly build and a violent, high-effort delivery, but his stuff (a big rise/run fastball, plus a cutter, slider and splitter) would play in a big league bullpen. Though his secondaries (especially his splitter) have generated plus chase and miss rates, they're closer to average in terms of pure quality and would likely play down due to Taira's lack of command. He's a high-variance guy with a shot to be a good bullpen's third banana.","5ZFV-qhVkPM",
"Tatsuya Imai","MIRP","NPB",2026,"26.7944444","Japan","Saitama Lions",,,"5' 11""","160","R","R","40+","High","A fairly hard-throwing righty in his mid-20s, Imai has three viable big league pitches, but his size and lack of command give him more of a bullpen look when compared to most big leaguers.",,
"Shion Matsuo","C","NPB",2030,"20.6361111","Japan","Yokohama BayStars",,,"5' 10""","170","R","R","40+","High","A 2022 NPB first rounder out of a high school east of Osaka, Matsuo has had two strong seasons in the Eastern League (NPB's minor league) and got a 40-game call up to the Central League in 2024. He's a precocious defender with a plus arm, not to mention uncommon athleticism and bat speed for a catcher. Matsuo's strikeout rates have been below 10% in the minors but spiked to around 20% during his thermos of coffee. Were he a rising college junior, Matsuo would be in the early second round mix.",,
"Chihiro Sumida","SP","NPB",2028,"25.5138888","Japan","Saitama Lions",,,"5' 8""","167","L","L","40","Low","Four teams nominated Sumida to be their first round pick when he was a college pitcher coming out of West Japan Tech. He ended up with the Seibu Lions and has pitched in their rotation since 2022. Sumida is an athletic, extra-small lefty with a plus changeup. His fastball sits about 89-92 and relies on some natural cut and uphill angle to sneak past hitters at the letters. Sumida can bend in a very slow curveball and will occasionally show you an upper-70s slider, but overwhelmingly, he manipulates his changeup's shape and velocity to garner his swings and misses. He's a low-variance backend starter type who has been durable and consistent.",,
"Ju Won Kim","SS","KBO",2028,"22.5694444","South Korea","NC Dinos",,,"6' 1""","183","S","R","40","High","Ju Won is a fairly projectable switch-hitting shortstop who took a step forward on defense in 2023. He still doesn't have ideal shortstop arm strength, but he looked much better in this regard than he did in 2022. Kim hasn't improved much on offense across the last couple of seasons and is still striking out a little too much, but his physical projectability and power potential would make him a third or fourth round draft prospect as a college infielder. He's still worth monitoring for the next couple of seasons, but he needs to start showing progress on offense in that time to stay on here.",,"kr3015141"
"Baek-ho  Kang","1B","KBO",2026,"25.5722222","South Korea","KT Wiz",,,"6' 0""","215","L","R","40","Med","Kang's performance in Korea is on the upswing again after two years marred by injuries and time away to deal with anxiety. After a very strong start to his pro career, Kang broke his toe falling down a flight of stairs before the 2022 season started, then partially tore his hamstring just a few weeks after he returned. A bout with anxiety shelved him for a month in 2023, and his season ended with an oblique tear. After he hit 29 homers in his age-18 rookie season, Kang hit just 14 combined across the 2022 and 2023 campaigns before rebounding somewhat in 2024 with a .289/.360/.480 line and 26 bombs. 
Peak Kang has plus power and one of the more aggressive, entertaining swings in Asian pro ball. In his early 20s, I evaluated him on the level of a mid-to-late-second round collegiate draft pick, but he's fallen due to his injuries and budding hit tool question marks. Kang is chase-prone and has a huge, hard-to-time leg kick that would probably make him whiff-prone against fastballs that are five ticks harder, on average, than the ones he faced in 2024. He's still worth following and it's good that he had a full 2024, but Kang needs to find another gear to have true MLB projection.",,"kr3012665"
"Ryosuke Ohtsu","SP","NPB",2026,"26.1166666","Japan","Fukuoka Hawks",,,"5' 8""","160","R","R","40","Low","A very bouncy, athletic little righty with a consistent delivery, Ohtsu has plus command of stuff that is mostly average or below. His changeup has enough movement to miss bats in the strike zone against NPB hitters, but that might not be as true in MLB. Ohtsu also looks much more comfortable landing his 80mph-ish slurve for strikes than he does using it as a chase pitch. If he can find a chase-inducing breaking ball, he might take a leap because he has the command to weaponize it in such a way that it will outperform his raw stuff. For now, he looks like a potential backend starter in MLB thanks to his ability to work very efficiently.",,
"Hiroya Miyagi","SP","NPB",2027,"23.5","Japan","Orix Buffaloes",,,"5' 7""","182","L","L","40","Low","Miyagi is thriving as a starter in NPB, but the low-slot lefty has the look of an effective long reliever in MLB. His mediocre fastball velocity and lack of a truly effective third pitch are barriers right now, but his slider is a dynamic weapon.",,
"Carter Stewart","SP","NPB",2026,"25.3138888","USA","Fukuoka Hawks",,,"6' 6""","220","R","R","40","High","Stewart was among the top high school pitchers in the 2018 draft. The Braves picked him eighth overall, but flunked his post-draft medical (wrist) and tried to sign him for a reduced amount. During that stretch, the relationship between the player and the team disintegrated, and Stewart, who was committed to Mississippi State, chose not to sign. Rather than go to Starkville, he spent a year at a Florida junior college to more quickly re-enter the draft, but his stuff took a dive and so did his draft standing. He made a move to Japan with an eye on pitching there until he was granted unrestricted free agency after six years. 
Stewart initially struggled to throw strikes and spent all of 2022 in the NPB equivalent of the minors, walking nearly a batter per inning. In 2023, he finally got an extended run in the NPB big league, where he threw most of the 100 combined innings he worked between the farm club and the Hawks. He took a step forward in 2024 when he threw 120 innings and improved his peripheral stats. Stewart continues to sit 93-95 with fairly hittable downhill plane that makes it imperative that he begin commanding his fastball more consistently to the top of the zone. He could also stand to become stronger and more flexible in his lower body, anything that might help flatten the line on his fastball or help him repeat his delivery more consistently. Stewart's trademark curveball still has fantastic, bat-missing depth, and he has added a firmer, mid-80s slider and, most prominently, a splitter. All of these play down because of Stewart's poor control. Given his pro track record of strike-throwing, Stewart remains a relief prospect at this point, but he has gotten better in this area and has another year to improve before he might be in position to consider a move to MLB.",,
"Yukiya Saito","SIRP","NPB",2026,"30.1388888","Japan","Hokkaido Fighters",,,"6' 0""","200","L","R","40","Med","Saito tore his ACL just before the 2023 season, and his debut with Hokkaido (who got him in a trade with Hanshin the year prior) was delayed until 2024. Saito's fastball velocity was up in 2024 and he sat 96 all year. He has a very explosive arm action and can touch the upper-90s, but he needs to find a second plus pitch to work as more than a middle reliever in MLB.",,
"Dong Ju Moon","SP","KBO",2029,"21.1722222","South Korea","Hanwha Eagles",,,"6' 2""","216","R","R","35+","High","Moon is one of the better young pitching prospects in Korea, as he has something closer to a typical MLB pitching prospect's frame and plus present arm strength. Thrust into a starter's role in which he worked 118 innings as a 19-year-old, Moon held mid-90s velo all season and touched 99-100 at peak. His stuff was a little bit down in 2024 as he threw about the same number of innings. Moon has a hard, mid-to-upper-80s slider and upper-70s curveball, both of which flash bat-missing depth. There are some round-down elements to Moon's fastball, and his command and overall game need polish, as you might expect from a pitching prospect this age. But his ability to sustain premium velo (for Korea, anyway) is a promising sign for his long-term future.",,"kr3018231"
"Yuhi Nishidate","SP","NPB",2028,"22.9555555","Japan","Yomiuri Giants",,,"6' 0""","174","R","R","35+","High","The power-armed Nishidate is one of the harder-throwing young pitchers in NPB. At age 22, in his first pro season, his fastball averaged 93-94 in roughly 70 innings of swingman work combined between Japan's minor and major league. He throws hard, flashes a good cutter and curveball, and a splitter was slowly emerging from his arsenal toward the end of 2024. He has the stuff foundation to be an effective MLB pitcher, but were he a prospect in domestic affiliated ball, he'd be on the starter/reliever line and a little less developed than most other 22-year-olds.",,
"Kyle Keller","SIRP","NPB",2026,"31.825","Southeast Louisiana","Hanshin Tigers",,,"6' 4""","205","R","R","35+","High","Keller was a notable relief prospect with the Marlins, Angels, and Pirates before he went to Japan starting in 2022. He's been relatively wild and walk prone for Hanshin, which was his biggest issue while in affiliated ball, but he still throws relatively hard (lots of 93-96 mph) and has added a splitter to his mix after leaning on his breaking ball a ton during his last stateside stint. The splitter isn't a plus pitch yet, but it's relatively new. There's a chance for three average or better pitches here, but Keller still needs to show he can throw enough strikes to stick on a big league roster.",,"18890"
"Haruya Tanaka","SP","NPB",2030,"20.7194444","Japan","Chiba Lotte Marines",,,"6' 1""","180","R","R","35+","High","A relatively projectable 20-year-old righty with big time arm speed, Tanaka dominated NPB's minors and was up to 96 during his brief call-up. He has a shot to develop three average or better pitches.",,
"Shuto Ogata","SIRP","NPB",2028,"25.7777777","Japan","Fukuoka Hawks",,,"6' 0""","185","R","R","35+","Med","Ogata is a super athletic, well-built relief righty with a huge drop-and-drive delivery and vertical fastball shape. He sits 95, and has been up to 98. He still doesn't have his body or breaking ball under control. The fastball will likely be a monster pitch for him, but he needs a second weapon and better command. This is a name to know and watch develop.",,
"Ryusei Terachi","C","NPB",2031,"19.5166666","Japan","Chiba Lotte Marines",,,"5' 11""","190","L","R","35+","High","A 2023 NPB fifth rounder out of high school, Terachi had a strong pro debut in the minors and got a two-game shot of espresso at the NPB level in 2024. He's a lefty-hitting catcher with plus bat speed, a deep projection name to know.",,
"Seiya Yokoyama","SS","NPB",2030,"19.325","Japan","Orix Buffaloes",,,"5' 11""","175","L","L","35+","High","Yokoyama was on this list as a freshly drafted first round prospect because of his lefty bat speed and physical projection. He had a rough first season in the minors and struggled at third base during his brief call-up. He can still swing it and is very young, but Yokoyama didn't exactly light it up in his first pro season.",,
"Julian Tima","3B","NPB",2029,"20.4166666","Dominican Republic","Yomiuri Giants",,,"6' 4""","200","R","R","35","High","Tima has been among the more fascinating (and niche) prospects followed closely here at FanGraphs since he was signed out of the Dominican Republic to the Yomiuri developmental roster in February of 2021 for nearly $700,000. After doing what amounts to backfield activity until 2024, Tima finally got regular reps for Yomiuri's Eastern League farm team and slashed .251/.292/.425, with 15 HR, 21% strikeouts, and 5% walks in 400 PA. His size, bat speed, and the kind of power he projects to end up with at physical maturity are all remarkable. This is a very physical 20-year-old who still hasn't totally grown into his body, and some of his best hacks are incredibly explosive. There's huge hit tool risk here. Tima is a super deep projection prospect and long-term name to monitor in the event that things click for him now that he's begun to get actual in-game reps.","xcjqT3EvaCs",